wave number,-1_1,-1_2,-1_3,-2_1,-2_2,-2_3,-3_1,-3_2,-4_1,-4_2,-5_1,-5_2,-6_1,-6_2,-6_3,-6_4,-6_5,-6_6,-7_1,-7_2,-7_3,-7_4,-7_5
1926.137085,8196.7402,13506.0117,10518.6406,9132.9121,7586.0537,8204.7969,6475.8604,5496.1831,2154.3232,2708.6143,3030.8767,3182.3398,3357.9729,1451.7915,1514.6327,1906.1813,2739.2292,2350.9033,2655.4412,3040.5444,3158.1702,3258.0715,4672.8027
1924.586304,8322.4229,13681.6445,10455.7988,9207.0332,7568.3291,8138.7334,6603.1538,5468.7905,2096.3159,2739.2292,3014.7634,3230.6792,3390.199,1358.3354,1490.463,1948.0754,2864.9116,2294.5073,2657.0525,3067.9368,3135.6118,3259.6829,4514.8945
1923.035522,8384.0459,13684.4902,10344.7266,9189.585,7538.2305,8190.7168,6610.25,5409.9976,2091.1782,2711.4431,3052.9915,3209.2659,3354.2629,1379.0822,1524.0791,1901.0712,2825.8296,2336.062,2706.6099,3032.0474,3078.7686,3273.709,4710.79
1921.482788,8253.957,13540.7422,10494.6387,9149.585,7633.7827,8224.9619,6522.3013,5359.2729,2090.8735,2722.3237,3071.8767,3270.0103,3302.2271,1378.8811,1507.7485,1891.129,2873.7429,2268.0662,2622.4517,3104.0935,3171.7488,3223.2959,4634.3936
1919.930054,8334.8916,13533.9307,10330.4336,9201.3975,7558.5786,8172.2202,6605.0996,5372.9849,2158.2134,2713.8728,2990.8972,3213.1609,3250.2051,1357.7417,1526.8555,1921.4542,2844.332,2304.7786,2707.4304,2984.4548,3164.8428,3234.0989,4572.5132
1918.377319,8430.292,13631.7891,10311.2051,9175.8936,7581.626,8088.8931,6452.7563,5462.3779,2117.6377,2690.9297,3101.5742,3232.0144,3217.521,1375.2567,1534.6835,1888.9651,2919.6023,2306.051,2666.7742,3091.9121,3091.9121,3207.8589,4671.686
1916.824585,8419.3906,13641.0557,10298.417,9137.5107,7537.0376,8121.5161,6620.8711,5393.9492,2104.4453,2743.6685,3015.781,3180.0146,3368.4004,1346.072,1531.2375,1930.5508,2885.3604,2296.0513,2708.2456,3046.3735,3136.5413,3205.7769,4567.9502
1915.271851,8168.6152,13494.1533,10364.5137,9008.9814,7521.4365,8173.4448,6418.6577,5285.2905,2131.5029,2764.1924,3049.144,3232.6724,3348.585,1387.7308,1516.5226,1869.09,2820.5388,2311.8115,2656.3293,3091.0015,3248.7712,3237.502,4510.9302
1913.719116,8358.9561,13587.126,10242.2559,8996.3809,7465.5957,8180.2837,6536.8228,5355.3335,2076.4592,2665.5942,2995.5742,3241.8521,3274.0452,1414.8898,1505.0306,1872.0327,2834.6084,2263.1797,2721.9324,3071.2283,3124.3469,3146.8821,4508.6533
1912.166382,8349.6689,13369.4482,10429.0391,9015.9688,7575.5376,8058.3638,6392.6143,5478.4644,2101.9019,2719.9189,3001.5674,3236.5427,3276.7781,1387.3197,1533.7769,1950.6165,2813.2654,2319.1736,2639.448,3080.429,3111.0081,3217.2297,4593.2832
