wave number,-1_1,-1_2,-1_3,-1_4,-1_5,-1_6,-1_7,-1_8,-1_9,-1_10,-1_11,-1_12,-1_13,-1_14,-1_15,-1_16,-1_17,-1_18,-2_1,-2_2,-2_3,-2_4,-2_5,-2_6,-2_7,-2_8,-3_1,-3_2,-3_3,-3_4,-3_5,-3_6,-4_1,-4_2,-4_3,-4_4,-4_5,-4_6,-5_1,-5_2,-5_3,-5_4,-5_5,-6_1,-6_2,-6_3,-6_4,-6_5, 
601.052,64543.0,64543.0,1892.0,17752.0,19008.0,15785.0,30215.0,53603.0,22300.0,18682.0,64543.0,36234.0,35311.0,9217.0,46494.0,64543.0,64543.0,64543.0,64543.0,64543.0,29857.0,64543.0,11939.0,64543.0,26490.0,10453.0,28656.0,29974.0,56000.5,25624.0,20189.0,49871.0,2829.0,2872.0,3150.0,3718.0,1106.0,3663.0,1283.0,1018.0,2334.0,1157.0,2465.0,616.0,633.0,677.0,514.0,672.0,
602.789,64543.0,64543.0,1910.0,18171.0,19322.0,16255.0,31196.0,55315.0,22751.0,18980.0,64543.0,37225.0,35896.0,9389.0,47660.0,64543.0,64543.0,64543.0,64543.0,64543.0,30111.0,64543.0,12291.0,64543.0,27127.0,10717.0,29192.0,30271.0,56233.5,25966.0,20580.0,50346.0,3025.0,3016.0,3271.0,4030.0,1144.0,3781.0,1301.0,1059.0,2385.0,1205.0,2517.0,604.0,664.0,686.0,481.0,668.0,
604.524,64543.0,64543.0,2023.0,19352.0,20654.0,17247.0,33089.0,58676.0,23917.0,20318.0,64543.0,39083.0,37471.0,9574.0,49943.0,64543.0,64543.0,64543.0,64543.0,64543.0,31545.0,64543.0,13051.0,64543.0,28765.0,11464.0,30852.0,31472.0,56967.5,27041.0,21178.0,51786.5,3384.0,3316.0,3511.0,4633.0,1230.0,3945.0,1373.0,1108.0,2539.0,1206.0,2646.0,612.0,658.0,695.0,530.0,691.0,
606.26,64543.0,64543.0,2214.0,21750.0,23368.0,19550.0,37035.0,62397.5,26137.0,22669.0,64543.0,43038.0,41288.0,10229.0,54517.0,64543.0,64543.0,64543.0,64543.0,64543.0,34345.0,64543.0,14830.0,64543.0,32384.0,12908.0,34166.0,33920.0,58658.5,29443.0,23341.0,53219.5,4400.0,3833.0,4097.0,6114.0,1437.0,4566.0,1566.0,1224.0,2938.0,1349.0,3046.0,627.0,670.0,720.0,515.0,680.0,
607.997,64543.0,64543.0,2701.0,26318.0,28342.0,23578.0,44049.0,64543.0,30182.0,27499.0,64543.0,51170.0,48327.0,11333.0,61548.5,64543.0,64543.0,64543.0,64543.0,64543.0,39331.0,64543.0,17563.0,64543.0,39783.0,15677.0,41142.0,38717.0,62110.5,34146.0,27005.0,55678.5,6196.0,4859.0,5170.0,8238.0,1849.0,5573.0,1873.0,1428.0,3526.0,1643.0,3604.0,652.0,676.0,775.0,536.0,696.0,
609.731,64543.0,64543.0,3112.0,31677.0,34061.0,28480.0,53052.0,64543.0,36836.0,34078.0,64543.0,61866.5,58545.0,12934.0,64543.0,64543.0,64543.0,64543.0,64543.0,64543.0,45247.0,64543.0,20655.0,64543.0,50770.0,18559.0,50299.0,44925.0,64543.0,39956.0,31402.0,59152.5,8038.0,5980.0,6421.0,10017.0,2249.0,6903.0,2296.0,1756.0,4439.0,1990.0,4349.0,653.0,739.0,837.0,539.0,733.0,
611.466,64543.0,64543.0,3162.0,32209.0,33655.0,28984.0,54131.0,64543.0,38997.0,35753.0,64543.0,64141.5,59539.0,13487.0,64543.0,64543.0,64543.0,64543.0,64543.0,64543.0,45453.0,64543.0,21001.0,64543.0,53539.0,18014.0,50939.0,44793.0,64543.0,40130.0,31342.0,59594.5,7090.0,5777.0,6480.0,9142.0,2235.0,6819.0,2336.0,1787.0,4369.0,1981.0,4194.0,637.0,716.0,843.0,564.0,718.0,
613.202,64543.0,64543.0,2604.0,26274.0,27210.0,23427.0,45017.0,64543.0,32979.0,28997.0,61131.5,56887.0,49046.0,11730.0,62432.5,64543.0,64543.0,64543.0,64543.0,64543.0,38655.0,64543.0,17408.0,64543.0,43028.0,14738.0,40606.0,38038.0,60858.5,33498.0,26165.0,55806.5,4847.0,4309.0,4939.0,6440.0,1714.0,5369.0,1812.0,1458.0,3341.0,1605.0,3284.0,642.0,684.0,777.0,517.0,674.0,
614.935,64543.0,64543.0,2191.0,21263.0,22160.0,18837.0,36422.0,62044.5,26741.0,22990.0,60845.5,45180.0,40729.0,10232.0,54364.0,64543.0,64543.0,64543.0,64543.0,64543.0,33230.0,64543.0,14102.0,64543.0,33437.0,12130.0,33031.0,32938.0,57903.5,28732.0,22534.0,52912.5,3589.0,3425.0,3806.0,4766.0,1356.0,4352.0,1454.0,1196.0,2688.0,1323.0,2822.0,624.0,646.0,718.0,520.0,659.0,
616.67,64543.0,64543.0,2011.0,18923.0,19899.0,16839.0,32392.0,56970.0,24165.0,20232.0,61699.5,39734.0,37496.0,9682.0,49568.0,64543.0,64543.0,64543.0,64543.0,64543.0,30985.0,64543.0,12651.0,64543.0,28750.0,11089.0,29970.0,30827.0,56774.5,26533.0,21202.0,51406.0,3035.0,3048.0,3356.0,4110.0,1195.0,3918.0,1343.0,1105.0,2405.0,1191.0,2552.0,619.0,657.0,695.0,509.0,674.0,
618.404,64543.0,64543.0,1907.0,17842.0,19078.0,15853.0,30452.0,53309.0,22828.0,18971.0,62938.5,37213.0,35662.0,9417.0,47245.0,64543.0,64543.0,64543.0,64543.0,64543.0,29975.0,64543.0,11931.0,64543.0,26550.0,10521.0,28907.0,29945.0,56085.5,25675.0,20489.0,50269.0,2863.0,2866.0,3190.0,3786.0,1116.0,3749.0,1269.0,1040.0,2331.0,1174.0,2445.0,617.0,654.0,693.0,515.0,675.0,
620.136,64543.0,64543.0,1901.0,17390.0,18398.0,15254.0,29571.0,51834.0,22168.0,18565.0,64530.5,35986.0,34941.0,9327.0,45873.0,64543.0,64543.0,64543.0,64543.0,64543.0,29531.0,64543.0,11636.0,64543.0,25771.0,10290.0,28076.0,29507.0,55870.5,25348.0,20156.0,49737.0,2715.0,2790.0,3093.0,3650.0,1101.0,3652.0,1268.0,1024.0,2279.0,1143.0,2454.0,609.0,662.0,666.0,508.0,669.0,
621.87,64543.0,64543.0,1853.0,17126.0,18194.0,15034.0,29073.0,50849.0,21798.0,18308.0,64543.0,35335.0,34496.0,9299.0,45578.0,64543.0,64543.0,64543.0,64543.0,64543.0,29153.0,64543.0,11400.0,64543.0,25360.0,10184.0,27916.0,29397.0,55779.5,25136.0,19994.0,49529.0,2700.0,2746.0,3037.0,3602.0,1046.0,3519.0,1257.0,986.0,2251.0,1134.0,2403.0,574.0,641.0,671.0,499.0,661.0,
623.6030000000001,64543.0,64543.0,1885.0,16994.0,18015.0,14853.0,28890.0,50340.0,21728.0,18132.0,64543.0,35122.0,34304.0,9223.0,45310.0,64543.0,64543.0,64543.0,64543.0,64543.0,29199.0,64543.0,11445.0,64543.0,25120.0,10179.0,27749.0,29346.0,55701.5,24967.0,19836.0,49104.0,2667.0,2712.0,3033.0,3642.0,1047.0,3563.0,1257.0,973.0,2239.0,1132.0,2409.0,614.0,657.0,661.0,493.0,667.0,
