wave number,-5_1,-5_2,-5_3,-5_4,-5_5,-5_6,-6_1,-6_2,-6_3,-6_4,-6_5,-6_6,-6_7,-7_1,-7_2,-7_3,-7_4,-7_5,-7_6,-8_1,-8_2,-8_3,-8_4,-8_5,-8_6, 
300.064,7672.0,4678.0,6514.0,12631.0,14942.0,13206.0,6494.0,8897.0,8717.0,11669.0,11603.0,11549.0,17781.0,8158.0,7513.0,4379.0,8590.0,6887.0,6517.0,2441.0,3477.0,3690.0,5392.0,8327.0,6563.0,
300.856,7524.0,4618.0,6532.0,12345.0,14730.0,12950.0,6504.0,8750.0,8570.0,11566.0,11409.0,11408.0,17730.0,8164.0,7445.0,4359.0,8615.0,6792.0,6502.0,2332.0,3478.0,3659.0,5352.0,8370.0,6542.0,
301.649,7496.0,4482.0,6502.0,12274.0,14639.0,12858.0,6435.0,8718.0,8585.0,11440.0,11376.0,11303.0,17485.0,8004.0,7416.0,4289.0,8554.0,6791.0,6338.0,2395.0,3535.0,3650.0,5275.0,8256.0,6455.0,
302.441,7334.0,4496.0,6290.0,12152.0,14506.0,12729.0,6337.0,8720.0,8487.0,11333.0,11311.0,11294.0,17548.0,8036.0,7424.0,4297.0,8535.0,6728.0,6336.0,2328.0,3577.0,3610.0,5211.0,8172.0,6429.0,
303.233,7388.0,4524.0,6426.0,12149.0,14403.0,12635.0,6396.0,8682.0,8481.0,11338.0,11240.0,11215.0,17533.0,7958.0,7358.0,4223.0,8670.0,6620.0,6344.0,2248.0,3666.0,3599.0,5166.0,8086.0,6318.0,
304.025,7247.0,4378.0,6214.0,12007.0,14215.0,12436.0,6302.0,8614.0,8450.0,11278.0,11196.0,11175.0,17557.0,7904.0,7289.0,4194.0,8603.0,6553.0,6282.0,2244.0,3705.0,3559.0,5125.0,8092.0,6318.0,
304.817,7216.0,4392.0,6234.0,11902.0,14252.0,12431.0,6287.0,8535.0,8378.0,11247.0,11213.0,11083.0,17384.0,7828.0,7255.0,4225.0,8595.0,6535.0,6241.0,2256.0,3824.0,3544.0,5104.0,7998.0,6257.0,
305.608,7114.0,4362.0,6226.0,11837.0,14086.0,12286.0,6242.0,8530.0,8386.0,11241.0,11071.0,10969.0,17358.0,7832.0,7223.0,4171.0,8662.0,6552.0,6302.0,2267.0,3904.0,3517.0,5009.0,8018.0,6182.0,
306.4,7038.0,4316.0,6100.0,11763.0,13993.0,12203.0,6264.0,8439.0,8298.0,11318.0,11049.0,11047.0,17412.0,7770.0,7179.0,4232.0,8636.0,6451.0,6226.0,2200.0,3900.0,3493.0,4960.0,7898.0,6162.0,
307.192,7054.0,4296.0,6186.0,11562.0,13976.0,12122.0,6140.0,8534.0,8275.0,11363.0,10892.0,11104.0,17376.0,7708.0,7125.0,4212.0,8545.0,6487.0,6143.0,2196.0,3895.0,3426.0,4887.0,7838.0,6103.0,
307.983,7018.0,4264.0,6144.0,11576.0,13859.0,12169.0,6155.0,8394.0,8278.0,11265.0,10900.0,11004.0,17359.0,7722.0,7046.0,4204.0,8522.0,6462.0,6184.0,2159.0,3883.0,3418.0,4848.0,7807.0,6074.0,
308.775,6898.0,4258.0,6162.0,11494.0,13610.0,11937.0,6249.0,8402.0,8220.0,11265.0,10828.0,10945.0,17506.0,7556.0,7024.0,4151.0,8525.0,6321.0,6041.0,2140.0,3781.0,3340.0,4757.0,7788.0,5978.0,
309.566,6870.0,4184.0,6004.0,11485.0,13658.0,11839.0,6204.0,8346.0,8192.0,11272.0,10758.0,10857.0,17382.0,7682.0,7012.0,4159.0,8464.0,6364.0,6054.0,2134.0,3641.0,3338.0,4639.0,7761.0,5889.0,
310.356,6756.0,4164.0,6000.0,11289.0,13521.0,11726.0,6189.0,8254.0,8081.0,11254.0,10762.0,10897.0,17367.0,7578.0,6910.0,4091.0,8337.0,6285.0,6134.0,2131.0,3474.0,3306.0,4616.0,7659.0,5824.0,
311.14799999999997,6802.0,4136.0,6032.0,11292.0,13362.0,11722.0,6162.0,8282.0,8128.0,11179.0,10776.0,10873.0,17282.0,7462.0,6960.0,4087.0,8273.0,6208.0,5987.0,2081.0,3360.0,3303.0,4558.0,7685.0,5808.0,
311.939,6740.0,4102.0,5938.0,11156.0,13313.0,11663.0,6149.0,8324.0,7986.0,11205.0,10622.0,10743.0,17378.0,7400.0,6934.0,4070.0,8150.0,6282.0,6028.0,2040.0,3284.0,3268.0,4550.0,7606.0,5821.0,
312.72900000000004,6698.0,4074.0,5952.0,11100.0,13151.0,11532.0,6187.0,8186.0,8033.0,11245.0,10626.0,10739.0,17467.0,7526.0,6870.0,4018.0,8062.0,6248.0,6024.0,2036.0,3133.0,3196.0,4483.0,7476.0,5711.0,
313.52,6697.0,4070.0,5880.0,11054.0,13136.0,11436.0,6106.0,8239.0,8115.0,11229.0,10595.0,10680.0,17341.0,7470.0,6789.0,3967.0,8034.0,6245.0,6029.0,2018.0,3138.0,3215.0,4424.0,7457.0,5671.0,
314.311,6568.0,4028.0,5822.0,10919.0,13061.0,11429.0,6126.0,8287.0,7973.0,11217.0,10484.0,10750.0,17527.0,7390.0,6872.0,3952.0,7868.0,6152.0,5948.0,2039.0,3134.0,3162.0,4445.0,7422.0,5642.0,
315.101,6450.0,4030.0,5838.0,10812.0,13025.0,11350.0,6139.0,8233.0,8068.0,11144.0,10398.0,10758.0,17317.0,7416.0,6797.0,3964.0,7736.0,6103.0,5892.0,1980.0,3146.0,3188.0,4377.0,7435.0,5627.0,
315.89099999999996,6504.0,4008.0,5852.0,10775.0,12926.0,11301.0,6197.0,8180.0,8109.0,11184.0,10499.0,10841.0,17641.0,7320.0,6747.0,3962.0,7824.0,6140.0,5905.0,2022.0,3073.0,3148.0,4319.0,7357.0,5557.0,
316.681,6538.0,4064.0,5788.0,10768.0,12801.0,11218.0,6074.0,8082.0,8019.0,11162.0,10356.0,10764.0,17502.0,7370.0,6696.0,3868.0,7776.0,6124.0,5820.0,1985.0,3097.0,3154.0,4270.0,7363.0,5537.0,
317.472,6389.0,4012.0,5670.0,10596.0,12824.0,11189.0,6086.0,8130.0,8005.0,11157.0,10381.0,10700.0,17385.0,7378.0,6712.0,3859.0,7902.0,6093.0,5807.0,1981.0,3025.0,3094.0,4213.0,7294.0,5558.0,
318.262,6364.0,3996.0,5726.0,10470.0,12709.0,11083.0,6098.0,8125.0,7978.0,11159.0,10337.0,10710.0,17497.0,7286.0,6664.0,3857.0,7830.0,6157.0,5798.0,1990.0,2989.0,3082.0,4194.0,7186.0,5472.0,
319.051,6316.0,3950.0,5692.0,10501.0,12649.0,11003.0,6119.0,8169.0,7977.0,11106.0,10266.0,10767.0,17582.0,7380.0,6650.0,3793.0,7738.0,6104.0,5769.0,1945.0,2977.0,3092.0,4145.0,7113.0,5519.0,
319.841,6213.0,3960.0,5696.0,10480.0,12578.0,10879.0,6066.0,8191.0,7961.0,11029.0,10274.0,10719.0,17500.0,7282.0,6657.0,3764.0,7570.0,6076.0,5749.0,1992.0,2958.0,3068.0,4198.0,7101.0,5485.0,
320.63,6233.0,3898.0,5716.0,10315.0,12474.0,10921.0,6098.0,8195.0,8018.0,10975.0,10336.0,10727.0,17233.0,7258.0,6539.0,3689.0,7646.0,6112.0,5688.0,1940.0,2952.0,3013.0,4116.0,7097.0,5497.0,
321.42,6163.0,3866.0,5656.0,10273.0,12336.0,10824.0,6166.0,8131.0,7949.0,10970.0,10182.0,10715.0,17253.0,7212.0,6587.0,3732.0,7632.0,6134.0,5664.0,1913.0,2904.0,3002.0,4090.0,7083.0,5375.0,
322.21,6190.0,4027.0,5516.0,10174.0,12483.0,10857.0,6087.0,8205.0,7999.0,10964.0,10183.0,10710.0,17330.0,7136.0,6515.0,3682.0,7582.0,6100.0,5663.0,1926.0,2924.0,3044.0,4067.0,6990.0,5466.0,
322.999,6120.0,3798.0,5542.0,10116.0,12357.0,10709.0,6227.0,8160.0,7922.0,10966.0,10292.0,10614.0,17125.0,7156.0,6580.0,3618.0,7616.0,6133.0,5748.0,1919.0,2875.0,2996.0,4056.0,6958.0,5363.0,
323.788,6085.0,3788.0,5506.0,9986.0,12273.0,10676.0,6141.0,8227.0,7855.0,10940.0,10179.0,10619.0,16954.0,7086.0,6669.0,3633.0,7552.0,6104.0,5625.0,1918.0,2849.0,3000.0,4018.0,6960.0,5422.0,
324.577,6068.0,3836.0,5504.0,9953.0,12193.0,10687.0,6163.0,8081.0,7790.0,10812.0,10167.0,10674.0,16852.0,7106.0,6426.0,3682.0,7386.0,6065.0,5622.0,1911.0,2783.0,2890.0,4000.0,6989.0,5489.0,
325.366,5973.0,3832.0,5602.0,9944.0,12136.0,10589.0,6085.0,8167.0,7802.0,10730.0,10183.0,10565.0,16749.0,7174.0,6478.0,3654.0,7390.0,6100.0,5590.0,1911.0,2734.0,2908.0,3988.0,6905.0,5419.0,
326.155,5971.0,3732.0,5528.0,9853.0,12270.0,10491.0,6020.0,8088.0,7839.0,10730.0,10122.0,10595.0,16574.0,7172.0,6429.0,3645.0,7422.0,6093.0,5565.0,1934.0,2759.0,2939.0,3977.0,6792.0,5431.0,
326.944,5902.0,3760.0,5390.0,9808.0,12101.0,10466.0,6008.0,8095.0,7887.0,10771.0,10074.0,10445.0,16436.0,7238.0,6377.0,3655.0,7378.0,6154.0,5540.0,1874.0,2792.0,2952.0,3976.0,6811.0,5411.0,
327.73199999999997,5872.0,3766.0,5470.0,9696.0,12061.0,10472.0,5957.0,8084.0,7785.0,10686.0,10042.0,10536.0,16305.0,6992.0,6377.0,3614.0,7378.0,6282.0,5517.0,1910.0,2772.0,2874.0,3953.0,6897.0,5436.0,
328.522,5829.0,3730.0,5434.0,9628.0,11963.0,10372.0,5936.0,8068.0,7773.0,10614.0,10007.0,10446.0,16193.0,7028.0,6318.0,3560.0,7294.0,6243.0,5523.0,1930.0,2756.0,2906.0,3885.0,6786.0,5403.0,
329.31,5822.0,3730.0,5358.0,9592.0,11909.0,10348.0,5904.0,7997.0,7727.0,10659.0,9945.0,10405.0,15931.0,7076.0,6376.0,3628.0,7300.0,6219.0,5450.0,1902.0,2778.0,2907.0,3926.0,6665.0,5394.0,
330.099,5749.0,3646.0,5370.0,9530.0,11777.0,10364.0,5918.0,8006.0,7688.0,10687.0,9944.0,10460.0,15971.0,6998.0,6295.0,3604.0,7254.0,6239.0,5455.0,1930.0,2767.0,2912.0,3896.0,6780.0,5395.0,
330.88699999999994,5746.0,3568.0,5448.0,9511.0,11860.0,10259.0,5884.0,7886.0,7623.0,10523.0,9848.0,10383.0,15635.0,7018.0,6262.0,3525.0,7312.0,6257.0,5419.0,1918.0,2799.0,2883.0,3886.0,6721.0,5399.0,
331.675,5746.0,3642.0,5452.0,9468.0,11816.0,10250.0,5784.0,7916.0,7695.0,10556.0,9892.0,10342.0,15633.0,6974.0,6285.0,3552.0,7252.0,6320.0,5341.0,1913.0,2736.0,2890.0,3891.0,6649.0,5332.0,
332.463,5678.0,3624.0,5364.0,9421.0,11783.0,10206.0,5726.0,7831.0,7653.0,10516.0,9805.0,10424.0,15462.0,6886.0,6276.0,3518.0,7224.0,6346.0,5352.0,1925.0,2810.0,2865.0,3849.0,6665.0,5395.0,
333.251,5584.0,3620.0,5422.0,9418.0,11626.0,10159.0,5699.0,7867.0,7648.0,10405.0,9752.0,10345.0,15429.0,6892.0,6315.0,3581.0,7242.0,6260.0,5365.0,1902.0,2842.0,2841.0,3835.0,6627.0,5330.0,
334.039,5624.0,3598.0,5298.0,9339.0,11681.0,10142.0,5692.0,7815.0,7581.0,10421.0,9758.0,10371.0,15320.0,6896.0,6277.0,3591.0,7266.0,6277.0,5334.0,1876.0,2790.0,2821.0,3864.0,6576.0,5324.0,
334.82599999999996,5571.0,3598.0,5320.0,9279.0,11719.0,10019.0,5645.0,7783.0,7484.0,10370.0,9679.0,10396.0,15089.0,6820.0,6232.0,3553.0,7184.0,6250.0,5293.0,1889.0,2836.0,2847.0,3824.0,6583.0,5315.0,
335.61400000000003,5556.0,3622.0,5288.0,9225.0,11628.0,10061.0,5686.0,7817.0,7507.0,10505.0,9751.0,10328.0,15018.0,6912.0,6258.0,3545.0,7177.0,6241.0,5317.0,1879.0,2844.0,2816.0,3782.0,6638.0,5349.0,
336.401,5534.0,3612.0,5374.0,9251.0,11577.0,9980.0,5684.0,7809.0,7558.0,10436.0,9653.0,10373.0,14936.0,6926.0,6231.0,3491.0,7162.0,6276.0,5289.0,1877.0,2872.0,2774.0,3833.0,6531.0,5250.0,
