wave number,-5_1,-5_2,-5_3,-5_4,-5_5,-5_6,-5_7,-5_8,-7_1,-7_2,-7_3,-8_1,-8_2,-8_3,-8_4,-9_1,-9_2,-9_3,-9_4,-10_1,-10_2,-10_3
301.684,11596,12090,9916,47740,14068,14602,22874,15118,8150,13410,14624,20018,24372,12808,14744,25008,11940,12814,20620,6372,23610,9582
303.479,11750,12110,10042,47536,13968,14624,22770,15002,8102,13256,14798,19938,24366,12736,14814,25264,11916,12672,20882,6336,23498,9656
305.276,11600,12220,10158,47106,14042,14692,22960,15074,8126,13492,14884,19958,24448,12822,14586,25240,12038,12800,20718,6332,23664,9714
307.07,11814,12136,10202,47250,14070,14650,22948,15100,8290,13416,14698,20116,24536,12828,14742,25460,12046,12960,20940,6456,23600,9696
308.864,11680,12262,10218,47280,14222,14776,23192,15046,8136,13470,14724,20210,24724,12620,14808,25290,11916,12954,20788,6452,23738,9740
310.659,11874,12112,10186,47272,14154,14704,23238,15020,8210,13326,14828,20240,24580,12858,14790,25326,12054,12964,20832,6470,23750,9662
312.453,11776,12202,10136,47152,14174,14678,23036,15284,8304,13508,14760,20196,24506,12896,14698,25626,12034,12914,21034,6524,23914,9752
314.246,11914,12294,10258,47122,14248,14726,23220,15120,8272,13654,14858,20156,24574,12814,14752,25472,12022,12864,20988,6440,23772,9708
316.04,11760,12260,10094,47262,14306,14782,23312,15144,8242,13424,14790,20116,24890,12858,14886,25204,12050,12894,20974,6394,23810,9844
317.832,11870,12278,10174,47290,14312,14934,23424,15072,8224,13668,14774,20402,24818,12918,14708,25530,12060,13050,21036,6432,23856,9708
319.624,11916,12250,10210,47156,14306,14690,23378,15286,8270,13550,14920,20234,24720,12874,14690,25678,12028,12894,20916,6520,23938,9760
321.416,11768,12240,10294,47052,14366,14838,23216,15166,8230,13580,14954,20308,24752,12948,14876,25754,12184,12860,21034,6386,23708,9704
323.209,11798,12134,10200,46982,14110,14834,23412,15242,8278,13636,14964,20284,24778,12758,14968,25484,12188,12892,20902,6532,23850,9834
325,11776,12300,10234,47170,14376,14926,23274,15182,8196,13498,14868,20280,24674,12964,14888,25612,12126,12914,20908,6430,24002,9712
326.79,11834,12310,10162,47256,14148,14954,23288,15372,8182,13504,14884,20348,24766,12868,14666,25540,12118,13106,21084,6474,23788,9774
328.58,11866,12350,10188,47138,14366,14688,23344,15192,8300,13588,14882,20370,24646,12998,14968,25506,12160,13038,21140,6416,24086,9786
330.372,11940,12526,10242,47110,14344,14858,23428,15328,8158,13620,14844,20510,24690,13010,14926,25672,12074,12996,21244,6476,23936,9746
332.162,11942,12524,10098,47126,14210,14946,23300,15244,8312,13508,14810,20290,24664,12878,14924,25612,12050,13086,21220,6428,24070,9830
333.951,11968,12418,10300,46900,14290,14988,23382,15260,8268,13798,14848,20480,24958,12906,14860,25588,12096,12994,20940,6588,23762,9844
335.739,12030,12402,10254,47028,14436,14854,23324,15322,8306,13756,14988,20418,24868,12974,14950,25492,12172,12982,21218,6492,24172,9816
337.53,11924,12516,10138,46860,14362,14856,23530,15530,8316,13572,14814,20444,25086,12952,14942,25586,12260,13090,21334,6596,24120,9746
339.318,11866,12346,10220,46796,14530,14996,23506,15286,8378,13728,14966,20306,24838,13180,14808,25712,12112,12908,21150,6454,24140,9860
341.106,11942,12470,10186,46992,14476,14850,23636,15512,8336,13576,15024,20234,24944,13068,14896,25898,12198,13018,21270,6412,24128,9826
342.893,11936,12386,10334,47064,14326,14964,23634,15286,8202,13520,14986,20444,24962,12944,14962,25790,12278,13032,21348,6528,24116,9818
344.68,11992,12360,10298,46892,14418,15024,23592,15446,8336,13870,15006,20392,25132,13036,14992,25770,12224,13172,21316,6542,24124,9934
346.469,12022,12402,10354,47444,14308,15152,23616,15376,8378,13812,15020,20302,25068,12980,15062,25706,12420,13200,21334,6482,24094,9958
348.255,11896,12636,10436,46946,14476,14982,23808,15522,8330,13858,15044,20622,25130,13258,15024,25768,12258,13146,21316,6556,24382,9954
